Country,Total_Death,Total_Recovered,Total_Cases,Critical
Singapore,2024,3004131,3006155,4
Hong-Kong,14924,2916005,2937609,
Sweden,27407,2726492,2754129,
Ukraine,112418,5445577,5557995,
Colombia,143200,6212152,6400173,342
Greece,37869,,6101379,
Austria,22542,6054934,6081287,
Portugal,28126,5614809,5643062,61
Chile,64497,5252450,5384853,7
Malaysia,37348,5233268,5278406,11
Canada,59034,4881312,4946090,99
Belgium,34376,4826798,4861695,
Israel,12707,4798473,4841772,
Spain,121760,13762417,13914811,231
Turkey,102174,,17232066,
Australia,24414,11820014,11853144,3
Vietnam,43206,10640971,11625195,
Taiwan,19005,10222518,10241523,
Argentina,130841,9997258,10128845,
Netherlands,22992,8612599,8635786,
Mexico,334958,6899865,7702809,
Iran,146811,,7627186,
Indonesia,162063,6647104,6829221,
Poland,120598,,6661991,
Oceania,33015,14752388,14895771,31
Africa,258892,12090808,12860924,529
All,7010681,675619811,704753890,34794
USA,1219487,109814428,111820082,940
India,533570,,45035393,
France,167642,39970918,40138560,
Germany,183027,38240600,38828995,
Brazil,711380,36249161,38743918,
S-Korea,35934,34535939,34571873,
Japan,74694,,33803572,
Italy,196487,26361218,26723249,22
UK,232112,24678275,24910387,
Russia,402756,23545818,24124215,
North-America,1695941,127665129,131889132,6095
Asia,1553662,205673091,221500265,14733
Europe,2101824,248754104,253406198,4453
South-America,1367332,66683585,70200879,8953
